activity_id,activity_name,start,end,patient
a67d69be-d371-4f70-87fe-f5c999f44de1,Donor check-in,2024-09-11 15:56:09.219893,2024-09-11 15:56:16.011468,Patient Left
a9b06dd5-14e3-4d3a-8612-9a7beb988e3b,HCW check-in,2024-09-11 15:56:19.498648,2024-09-11 15:56:24.279346,Patient Left
20906e47-d40b-45f2-a65b-173dbb8f6431,Hand hygiene,2024-09-11 15:56:26.929568,2024-09-11 15:56:33.320994,Patient Left
9d37ae30-3455-4566-83dd-5cf6e7d3bcf5,Check blood drawing machine,2024-09-11 15:56:51.523652,2024-09-11 15:56:55.794360,Patient Left
3f560d09-c0b4-4b21-803b-c7d53483c86c,Apply tourniquet,2024-09-11 15:56:57.437567,2024-09-11 15:57:13.752493,Patient Left
20906e47-d40b-45f2-a65b-173dbb8f6431,Hand hygiene and wear gloves,2024-09-11 15:57:15.114683,2024-09-11 15:58:22.076982,Patient Left
584e55d1-6d29-4755-8157-8425e350d58f,Disinfect injection site,2024-09-11 15:58:25.527873,2024-09-11 15:58:47.402043,Patient Left
ec51e296-e89b-4f04-9269-eba290522620,Insert needle,2024-09-11 15:58:52.283012,2024-09-11 15:59:08.026884,Patient Left
458e722f-09a4-44ab-ad01-ad9776af9ea6,Remove tourniquet,2024-09-11 15:59:11.426006,2024-09-11 15:59:17.085564,Patient Left
7b49baac-e486-4043-8a77-e615b77fa894,Start blood drawing machine,2024-09-11 15:59:20.353666,2024-09-11 15:59:26.343425,Patient Left
0e7ff5d4-31da-4d90-a342-6e05fc718c1d,Monitor patient,2024-09-11 15:59:28.573590,2024-09-11 15:59:37.781354,Patient Left
3f266752-410a-4b3b-98a2-1d6982092cc1,Stop blood drawing machine,2024-09-11 15:59:40.538284,2024-09-11 15:59:46.788630,Patient Left
a4485d2e-56db-4da8-9373-3478d95254fa,Remove needle,2024-09-11 15:59:47.824502,2024-09-11 16:00:01.199689,Patient Left
20906e47-d40b-45f2-a65b-173dbb8f6431,Remove gloves and hand hygiene,2024-09-11 16:00:05.133422,2024-09-11 16:00:37.774905,Patient Left
339b2376-8b7e-42e2-9f97-318155e799b4,Donor check-out,2024-09-11 16:00:40.055285,2024-09-11 16:00:42.692139,Patient Left
baa31a27-fcb4-4cc7-8247-d7fa5eda96c7,Take out samples,2024-09-11 16:00:47.032415,2024-09-11 16:00:52.772170,Patient Left
20906e47-d40b-45f2-a65b-173dbb8f6431,Hand hygiene,2024-09-11 16:00:55.319446,2024-09-11 16:01:15.388279,Patient Left
7a41d5ac-378f-4141-bcd0-d1268b27d4d6,HCW check-out,2024-09-11 16:01:19.321501,2024-09-11 16:01:24.354026,Patient Left
